x1,x2,label
5.09509,4.17223,0
3.83677,9.40133,1
0.290266,3.83016,0
9.74562,6.15829,1
6.73286,1.26835,0
4.07423,4.12782,0
3.25324,3.85627,0
1.67283,0.0664026,0
0.475165,6.93325,0
5.34508,8.10654,1
1.98465,6.43007,0
9.3847,4.86499,1
4.27955,2.86761,0
1.94049,5.00227,0
8.18763,4.17252,1
9.12139,4.78642,1
0.170027,8.96008,0
6.93873,3.547,1
0.35282,5.14129,0
4.46322,6.48793,1
5.20333,0.411159,0
6.35628,1.30401,0
5.86238,0.16607,0
6.88446,6.8061,1
8.90529,1.83301,1
3.33622,8.79717,1
0.700949,4.3644,0
4.28952,9.94411,1
4.8172,0.521318,0
4.00109,3.0484,0
6.75898,6.54346,1
5.04561,3.42357,0
1.25142,1.48418,0
7.93035,3.00379,1
1.43688,3.68214,0
1.30377,8.33897,0
0.340706,8.6966,0
3.13522,1.58663,0
7.79483,3.78563,1
4.88386,7.04552,1
2.66615,2.58296,0
4.24951,0.0999773,0
5.19491,1.49011,0
1.29931,7.39562,0
3.73405,9.91532,1
7.68745,2.01534,0
0.00246108,8.03958,0
2.44479,7.57852,1
2.06175,1.82283,0
3.23856,7.3554,1
2.1581,6.14762,0
8.69703,1.16964,0
2.06779,0.746883,0
4.85992,7.54709,1
2.68834,0.628868,0
3.82175,3.63398,0
2.19151,0.0513434,0
2.92569,3.08531,0
0.0546288,4.97143,0
8.65606,2.62946,1
7.71411,6.98575,1
8.86937,8.13965,1
3.12726,6.47355,0
5.52156,4.34708,0
8.01556,8.75692,1
1.85307,1.01856,0
9.2262,9.00085,1
5.97456,4.3042,1
4.41733,3.97899,0
7.72903,4.56493,1
3.25599,5.85007,0
3.65477,9.50678,1
2.3656,8.36775,1
7.66369,7.26092,1
5.62158,8.39221,1
1.21569,0.123289,0
2.23281,7.28316,0
8.11046,6.72208,1
7.45658,1.44937,0
2.67825,2.3957,0
8.41168,7.29984,1
9.18815,1.35443,1
5.87691,9.67639,1
5.8898,4.21792,1
9.89929,9.02493,1
7.13854,7.16359,1
1.40361,1.03097,0
5.96611,0.420864,0
7.37888,8.20956,1
9.53576,6.63917,1
6.77674,4.77048,1
0.490841,8.24174,0
1.94342,7.56118,0
3.09523,4.15992,0
8.96953,2.56421,1
8.83333,3.54215,1
3.70098,4.8063,0
6.79812,2.42434,0
6.81,7.99718,1
2.85657,0.330697,0
